PARKID,NAME,CITY,STATE,START,END,LEAGUE,Latitude,Longitude,Altitude,TEAM,CAPACITY,Notes
CIN02,Avenue Grounds,Cincinnati,OH,18760425,18790827,NL,39.14,-84.55,480,Red Stockings,7000,https://www.retroseasons.com/stadiums/avenue-grounds/
PRO02,Messer Street Grounds,Providence,RI,18780501,18850909,NL,41.81,-71.44,83,Providence Grays,6000,https://en.wikipedia.org/wiki/Messer_Street_Grounds
CHI03,White Stocking Park,Chicago,IL,18780514,18841011,NL,41.88,-87.62,585,Chicago White Stockings ,7000,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI01
BUF01,Riverside Grounds,Buffalo,NY,18790501,18830908,NL,42.91,-78.89,631,Buffalo Bisons,-,https://en.wikipedia.org/wiki/Olympic_Park_(Buffalo)
CLE02,National League Park I,Cleveland,OH,18790501,18841011,NL,41.5,-81.65,667,Cleveland Blues,-,https://en.wikipedia.org/wiki/National_League_Park
TRO02,Putnam Grounds,Troy,NY,18790528,18790920,NL,42.73,-73.68,250,Troy Trojans,-,https://www.retroseasons.com/stadiums/putnam-grounds/
ALB01,Riverside Park,East Albany,NY,18800911,18820530,NL,42.64,-73.75,14,Troy Trojans,3000,https://www.statscrew.com/venues/v-38
DET01,Recreation Park,Detroit,MI,18810502,18900923,NL,42.35,-83.06,625,Detroit Wolverines,-,https://www.baseball-reference.com/bullpen/Recreation_Park_(Detroit)
PHI04,Recreation Park,Philadelphia,PA,18830501,18861009,NL,39.98,-75.17,104,Philadelphia Phillies,6500,https://en.wikipedia.org/wiki/Recreation_Park_(Philadelphia)
BUF02,Olympic Park I,Buffalo,NY,18840521,18851007,NL,42.91,-78.88,632,Buffalo Bisons,-,https://en.wikipedia.org/wiki/Olympic_Park_(Buffalo)
CHI06,West Side Park,Chicago,IL,18850606,18911002,NL,41.87,-87.66,588,Chicago Colts,10000,https://en.wikipedia.org/wiki/Chicago_Cubs
WAS05,Swampoodle Grounds,Washington,DC,18860429,18890921,NL,38.9,-77.01,40,Washington Nationals,6000,https://en.wikipedia.org/wiki/Swampoodle_Grounds
PHI06,Huntingdon Grounds I,Philadelphia,PA,18870430,18940804,NL,39.99,-75.16,98,Philadelphia Phillies,12500,https://en.wikipedia.org/wiki/Baker_Bowl
BOS03,South End Grounds II,Boston,MA,18880525,18940514,NL,42.34,-71.09,11,Boston Beaneaters,6800,https://www.ballparksofbaseball.com/ballparks/south-end-grounds/ ; https://en.wikipedia.org/wiki/Atlanta_Braves
NYC10,Polo Grounds IV,New York,NY,18900419,19110413,NL,40.83,-73.94,13,New York Giants,54500,https://www.retroseasons.com/stadiums/polo-grounds-iv/
PIT05,Exposition Park III,Pittsburgh,PA,18900419,19151002,NL,40.45,-80.01,729,Pittsburgh Pirates,16000,https://www.seamheads.com/ballparks/ballpark.php?parkID=PIT05
NYC11,Eastern Park,Brooklyn,NY,18900428,18971002,NL,40.67,-73.9,40,Brooklyn Bridgerooms,12000,https://en.wikipedia.org/wiki/Eastern_Park
CHI07,South Side Park II,Chicago,IL,18900505,18930524,NL,41.83,-87.63,595,Chicago Colts,-,http://www.projectballpark.org/history/pl/south2.html
CAN02,Pastime Park,Canton,OH,18900918,18900918,NL,40.81,-81.42,1058,Pittsburgh Burghers,-,http://www.projectballpark.org/history/nl/alt/pasttime.html
CLE05,League Park III,Cleveland,OH,18910501,19090906,NL,41.51,-81.64,644,Cleveland Spiders,21414,https://en.wikipedia.org/wiki/League_Park
